strength,date,,filename
2412,2012-10-14.5,2012-10-08,AR_LIST_2012.10.08_12:00:00.txt
296,2012-10-09.2,2012-10-09,AR_LIST_2012.10.09_00:00:00.txt
855,2012-10-12.1,2012-10-09,AR_LIST_2012.10.09_00:00:00.txt
2327,2012-10-15.0,2012-10-09,AR_LIST_2012.10.09_00:00:00.txt
8,2012-10-09.0,2012-10-09,AR_LIST_2012.10.09_12:00:00.txt
886,2012-10-11.6,2012-10-09,AR_LIST_2012.10.09_12:00:00.txt
2391,2012-10-14.4,2012-10-09,AR_LIST_2012.10.09_12:00:00.txt
894,2012-10-12.1,2012-10-10,AR_LIST_2012.10.10_00:00:00.txt
2222,2012-10-14.9,2012-10-10,AR_LIST_2012.10.10_00:00:00.txt
849,2012-10-11.6,2012-10-10,AR_LIST_2012.10.10_12:00:00.txt
2217,2012-10-14.4,2012-10-10,AR_LIST_2012.10.10_12:00:00.txt
674,2012-10-12.1,2012-10-11,AR_LIST_2012.10.11_00:00:00.txt
1915,2012-10-14.8,2012-10-11,AR_LIST_2012.10.11_00:00:00.txt
645,2012-10-11.5,2012-10-11,AR_LIST_2012.10.11_12:00:00.txt
1765,2012-10-14.3,2012-10-11,AR_LIST_2012.10.11_12:00:00.txt
210,2012-10-12.2,2012-10-12,AR_LIST_2012.10.12_00:00:00.txt
1355,2012-10-14.6,2012-10-12,AR_LIST_2012.10.12_00:00:00.txt
6,2012-10-12.0,2012-10-12,AR_LIST_2012.10.12_12:00:00.txt
1156,2012-10-14.2,2012-10-12,AR_LIST_2012.10.12_12:00:00.txt
983,2012-10-14.6,2012-10-13,AR_LIST_2012.10.13_00:00:00.txt
713,2012-10-14.2,2012-10-13,AR_LIST_2012.10.13_12:00:00.txt
650,2012-10-14.6,2012-10-14,AR_LIST_2012.10.14_00:00:00.txt
318,2012-10-14.4,2012-10-14,AR_LIST_2012.10.14_12:00:00.txt
90,2012-10-15.1,2012-10-15,AR_LIST_2012.10.15_00:00:00.txt
660,2012-11-04.2,2012-10-26,AR_LIST_2012.10.26_12:00:00.txt
919,2012-11-04.7,2012-10-27,AR_LIST_2012.10.27_00:00:00.txt
1043,2012-11-04.3,2012-10-27,AR_LIST_2012.10.27_12:00:00.txt
984,2012-11-04.8,2012-10-28,AR_LIST_2012.10.28_00:00:00.txt
